zone_id,area_ha,mean_suit,mean_hec,sun_frac,priority,cen_lat,cen_lon,rank,taluk,intervention
298,12.0,0.338,0.0996,0.0,0.2703,13.5408,76.0185,123,Kadur,Bee Fence + Community Watch
45,10.0,0.345,0.1062,0.0,0.2696,13.7566,75.7519,124,Kalasa,Bee Fence + Community Watch
447,110.0,0.328,0.0,0.0,0.2683,13.4085,76.121,125,Kadur,Bee Fence + Community Watch
495,82.0,0.318,0.0129,0.0,0.2679,13.3356,75.8964,126,Chikkamagaluru,Bee Fence + Community Watch
542,32.0,0.329,0.0667,0.0,0.2678,13.2796,75.8694,127,Chikkamagaluru,Bee Fence + Community Watch
489,29.0,0.332,0.0717,0.0,0.2677,13.3429,75.8661,128,Chikkamagaluru,Bee Fence + Community Watch
330,101.0,0.326,0.0,0.01,0.2677,13.5191,76.1898,129,Kadur,Bee Fence + Community Watch
217,5.0,0.348,0.1062,0.0,0.2668,13.5964,76.016,130,Koppa,Bee Fence + Community Watch
496,85.0,0.316,0.0,0.012,0.2666,13.3388,76.0085,131,Kadur,Bee Fence + Community Watch
98,24.0,0.326,0.0673,0.0,0.2666,13.6925,75.88,132,Kalasa,Bee Fence + Community Watch
169,31.0,0.331,0.0656,0.0,0.2665,13.6293,75.7917,133,Koppa,Bee Fence + Community Watch
331,91.0,0.324,0.0,0.011,0.2656,13.5178,76.2405,134,Kadur,Bee Fence + Community Watch
387,16.0,0.339,0.0842,0.0,0.2655,13.4968,76.0139,135,Kadur,Bee Fence + Community Watch
188,84.0,0.314,0.0,0.0,0.2652,13.6177,76.2227,136,Koppa,Bee Fence + Community Watch
521,84.0,0.32,0.0,0.012,0.2649,13.3158,75.9342,137,Chikkamagaluru,Bee Fence + Community Watch
189,86.0,0.328,0.0,0.023,0.2643,13.6154,76.2392,138,Koppa,Bee Fence + Community Watch
67,85.0,0.333,0.0,0.035,0.2642,13.7239,76.0003,139,Kalasa,Bee Fence + Community Watch
301,6.0,0.346,0.0956,0.0,0.2642,13.5401,75.9584,140,Kadur,Bee Fence + Community Watch
154,48.0,0.332,0.0454,0.0,0.2642,13.6367,75.9674,141,Koppa,Bee Fence + Community Watch
197,16.0,0.339,0.0795,0.0,0.264,13.6137,76.0009,142,Koppa,Bee Fence + Community Watch
435,81.0,0.316,0.0001,0.0,0.2637,13.4274,75.967,143,Kadur,Bee Fence + Community Watch
473,91.0,0.329,0.0037,0.0,0.2634,13.3595,75.8959,144,Chikkamagaluru,Bee Fence + Community Watch
434,77.0,0.328,0.0,0.026,0.2623,13.4287,76.0881,145,Kadur,Bee Fence + Community Watch
337,86.0,0.325,0.0002,0.0,0.2622,13.5129,76.1189,146,Kadur,Bee Fence + Community Watch
266,49.0,0.335,0.0396,0.0,0.2613,13.5583,75.8031,147,Koppa,Bee Fence + Community Watch
37,12.0,0.346,0.0818,0.0,0.2612,13.7663,75.7564,148,Kalasa,Bee Fence + Community Watch
124,77.0,0.32,0.0,0.0,0.2611,13.666,76.1094,149,Kalasa,Bee Fence + Community Watch
432,73.0,0.317,0.0004,0.0,0.261,13.4355,75.976,150,Kadur,Bee Fence + Community Watch
403,84.0,0.333,0.0012,0.012,0.2609,13.4764,76.1023,151,Kadur,Bee Fence + Community Watch
367,83.0,0.33,0.0031,0.0,0.2607,13.5002,75.8457,152,Chikkamagaluru,Bee Fence + Community Watch
554,79.0,0.328,0.004,0.0,0.2604,13.2596,75.9261,153,Chikkamagaluru,Bee Fence + Community Watch
173,48.0,0.325,0.0271,0.0,0.2603,13.6267,76.0605,154,Koppa,Bee Fence + Community Watch
541,83.0,0.333,0.0001,0.012,0.2602,13.2855,75.9357,155,Chikkamagaluru,Bee Fence + Community Watch
505,69.0,0.319,0.0028,0.0,0.26,13.3288,75.9098,156,Chikkamagaluru,Bee Fence + Community Watch
23,64.0,0.313,0.0,0.0,0.2598,13.7961,75.9425,157,Kalasa,Bee Fence + Community Watch
482,75.0,0.328,0.0,0.013,0.2596,13.3503,76.018,158,Kadur,Bee Fence + Community Watch
293,81.0,0.329,0.0,0.0,0.259,13.536,76.2798,159,Kadur,Bee Fence + Community Watch
358,31.0,0.328,0.0407,0.0,0.2589,13.5097,75.9655,160,Kadur,Bee Fence + Community Watch
405,77.0,0.328,0.0012,0.0,0.2588,13.4754,75.8538,161,Chikkamagaluru,Bee Fence + Community Watch
215,66.0,0.318,0.0,0.0,0.2584,13.5905,76.191,162,Koppa,Bee Fence + Community Watch
459,81.0,0.331,0.0001,0.0,0.2584,13.3982,75.8943,163,Chikkamagaluru,Bee Fence + Community Watch
478,71.0,0.324,0.0,0.0,0.2579,13.3603,75.9364,164,Chikkamagaluru,Bee Fence + Community Watch
504,65.0,0.319,0.0,0.0,0.2579,13.3268,75.9707,165,Kadur,Bee Fence + Community Watch
92,60.0,0.315,0.0,0.0,0.2578,13.6953,76.1135,166,Kalasa,Bee Fence + Community Watch
369,41.0,0.333,0.0323,0.0,0.2571,13.5024,75.9703,167,Kadur,Bee Fence + Community Watch
418,63.0,0.321,0.0005,0.0,0.2568,13.4605,76.0828,168,Kadur,Bee Fence + Community Watch
389,66.0,0.324,0.0,0.0,0.2563,13.4924,76.1506,169,Kadur,Bee Fence + Community Watch
235,53.0,0.313,0.0,0.0,0.2562,13.5771,76.1654,170,Koppa,Bee Fence + Community Watch
400,42.0,0.322,0.0179,0.0,0.2561,13.4833,75.9685,171,Kadur,Bee Fence + Community Watch
421,69.0,0.328,0.0003,0.0,0.2561,13.4484,76.0678,172,Kadur,Bee Fence + Community Watch
90,73.0,0.332,0.0004,0.0,0.2558,13.6986,75.9428,173,Kalasa,Bee Fence + Community Watch
205,47.0,0.319,0.0,0.021,0.2556,13.6055,76.2296,174,Koppa,Bee Fence + Community Watch
214,50.0,0.338,0.0236,0.0,0.2551,13.5939,75.7856,175,Koppa,Bee Fence + Community Watch
420,50.0,0.317,0.0012,0.0,0.2545,13.4484,75.9928,176,Kadur,Bee Fence + Community Watch
192,62.0,0.327,0.0,0.0,0.2543,13.614,76.1451,177,Koppa,Bee Fence + Community Watch
236,20.0,0.344,0.0533,0.0,0.2542,13.5806,75.8099,178,Koppa,Bee Fence + Community Watch
79,24.0,0.336,0.039,0.0,0.2533,13.716,75.8925,179,Kalasa,Bee Fence + Community Watch
17,57.0,0.328,0.0,0.0,0.2524,13.8132,76.0556,180,Kalasa,Bee Fence + Community Watch
510,48.0,0.32,0.0,0.0,0.2523,13.3258,75.9579,181,Kadur,Bee Fence + Community Watch
565,13.0,0.343,0.0519,0.0,0.2521,13.2481,75.8694,182,Mudigere,Bee Fence + Community Watch
368,57.0,0.329,0.0001,0.0,0.2518,13.4996,75.916,183,Chikkamagaluru,Bee Fence + Community Watch
411,48.0,0.332,0.0083,0.0,0.2512,13.4722,76.0459,184,Kadur,Bee Fence + Community Watch
360,12.0,0.339,0.0448,0.0,0.2507,13.5083,75.9784,185,Kadur,Bee Fence + Community Watch
278,20.0,0.322,0.0,0.05,0.2507,13.5486,76.2196,186,Kadur,Bee Fence + Community Watch
142,48.0,0.326,0.0,0.0,0.2501,13.64,76.0897,187,Koppa,Bee Fence + Community Watch
259,12.0,0.342,0.0446,0.0,0.2497,13.5702,75.8008,188,Koppa,Bee Fence + Community Watch
153,9.0,0.342,0.0469,0.0,0.2495,13.6403,76.0388,189,Koppa,Bee Fence + Community Watch
221,36.0,0.331,0.0002,0.028,0.2493,13.5888,76.1018,190,Koppa,Bee Fence + Community Watch
381,36.0,0.336,0.0162,0.0,0.2489,13.5001,76.0776,191,Kadur,Bee Fence + Community Watch
309,54.0,0.338,0.0021,0.0,0.2487,13.5321,76.104,192,Kadur,Bee Fence + Community Watch
186,39.0,0.323,0.0,0.0,0.2486,13.6186,76.1728,193,Koppa,Bee Fence + Community Watch
379,34.0,0.319,0.0007,0.0,0.2486,13.4993,75.857,194,Chikkamagaluru,Bee Fence + Community Watch
442,29.0,0.329,0.0,0.034,0.2486,13.4222,76.1067,195,Kadur,Bee Fence + Community Watch
549,20.0,0.331,0.0008,0.05,0.2481,13.2692,75.9331,196,Chikkamagaluru,Bee Fence + Community Watch
207,9.0,0.34,0.0407,0.0,0.2479,13.6076,75.8153,197,Koppa,Bee Fence + Community Watch
544,48.0,0.337,0.0031,0.0,0.2476,13.2757,75.9196,198,Chikkamagaluru,Bee Fence + Community Watch
545,42.0,0.329,0.0,0.0,0.2476,13.2717,75.9715,199,Kadur,Bee Fence + Community Watch
150,6.0,0.345,0.0465,0.0,0.2473,13.6435,75.847,200,Koppa,Bee Fence + Community Watch
119,47.0,0.335,0.0013,0.0,0.2473,13.669,76.0509,201,Kalasa,Bee Fence + Community Watch
409,35.0,0.325,0.0,0.0,0.2469,13.4743,76.1319,202,Kadur,Bee Fence + Community Watch
399,43.0,0.332,0.0,0.0,0.2468,13.4834,76.1889,203,Kadur,Bee Fence + Community Watch
279,37.0,0.327,0.0,0.0,0.2467,13.5493,76.1657,204,Kadur,Bee Fence + Community Watch
75,48.0,0.337,0.0009,0.0,0.2467,13.7181,75.9205,205,Kalasa,Bee Fence + Community Watch
277,6.0,0.342,0.0417,0.0,0.2466,13.5541,75.82,206,Koppa,Bee Fence + Community Watch
356,6.0,0.325,0.0238,0.0,0.2465,13.51,76.081,207,Kadur,Bee Fence + Community Watch
29,41.0,0.331,0.0,0.0,0.2465,13.7834,76.0979,208,Kalasa,Bee Fence + Community Watch
281,11.0,0.341,0.0356,0.0,0.2464,13.55,75.8235,209,Chikkamagaluru,Bee Fence + Community Watch
178,11.0,0.346,0.0398,0.0,0.2463,13.6254,75.8289,210,Koppa,Bee Fence + Community Watch
231,39.0,0.33,0.0,0.0,0.2463,13.5817,76.1161,211,Koppa,Bee Fence + Community Watch
469,38.0,0.329,0.0,0.0,0.2462,13.3686,75.9707,212,Kadur,Bee Fence + Community Watch
394,40.0,0.331,0.0,0.0,0.2461,13.4903,76.2182,213,Kadur,Bee Fence + Community Watch
422,45.0,0.339,0.0035,0.0,0.246,13.4502,76.0451,214,Kadur,Bee Fence + Community Watch
548,33.0,0.325,0.0001,0.0,0.246,13.2706,75.9557,215,Kadur,Bee Fence + Community Watch
258,47.0,0.338,0.0,0.0,0.2458,13.5624,76.3034,216,Koppa,Bee Fence + Community Watch
171,5.0,0.348,0.0455,0.0,0.2457,13.6296,75.8299,217,Koppa,Bee Fence + Community Watch
334,27.0,0.321,0.0,0.0,0.2456,13.5198,76.2842,218,Kadur,Bee Fence + Community Watch
303,30.0,0.324,0.0,0.0,0.2455,13.5365,76.3265,219,Kadur,Bee Fence + Community Watch
162,32.0,0.337,0.0099,0.0,0.2451,13.6321,75.9437,220,Koppa,Bee Fence + Community Watch
396,32.0,0.336,0.0083,0.0,0.245,13.4885,76.0711,221,Kadur,Bee Fence + Community Watch
47,39.0,0.334,0.0,0.0,0.2449,13.7523,76.0745,222,Kalasa,Bee Fence + Community Watch
395,28.0,0.332,0.0074,0.0,0.2448,13.4879,76.0568,223,Kadur,Bee Fence + Community Watch
335,27.0,0.325,0.0,0.0,0.2445,13.5174,76.2913,224,Kadur,Bee Fence + Community Watch
151,13.0,0.313,0.0,0.0,0.2444,13.6414,76.0981,225,Koppa,Bee Fence + Community Watch
116,32.0,0.334,0.0027,0.0,0.2438,13.6735,76.0063,226,Kalasa,Bee Fence + Community Watch
144,42.0,0.34,0.0,0.0,0.2437,13.6399,76.1464,227,Koppa,Bee Fence + Community Watch
108,31.0,0.334,0.0026,0.0,0.2435,13.6803,75.9152,228,Kalasa,Bee Fence + Community Watch
93,32.0,0.332,0.0002,0.0,0.2434,13.6944,75.9736,229,Kalasa,Bee Fence + Community Watch
359,30.0,0.33,0.0,0.0,0.2434,13.5076,76.2811,230,Kadur,Bee Fence + Community Watch
450,32.0,0.333,0.0006,0.0,0.2431,13.4123,75.8698,231,Chikkamagaluru,Bee Fence + Community Watch
443,35.0,0.336,0.0,0.0,0.243,13.4209,76.1264,232,Kadur,Bee Fence + Community Watch
265,34.0,0.335,0.0,0.0,0.2429,13.5597,76.162,233,Koppa,Bee Fence + Community Watch
129,5.0,0.342,0.0312,0.0,0.2428,13.6602,75.7124,234,Kalasa,Bee Fence + Community Watch
353,17.0,0.339,0.0172,0.0,0.2426,13.5107,75.9404,235,Chikkamagaluru,Bee Fence + Community Watch
457,28.0,0.331,0.0,0.0,0.2425,13.4014,76.0447,236,Kadur,Bee Fence + Community Watch
128,18.0,0.331,0.0085,0.0,0.2425,13.6596,75.949,237,Kalasa,Bee Fence + Community Watch
185,26.0,0.33,0.0,0.0,0.2424,13.6174,76.16,238,Koppa,Bee Fence + Community Watch
62,31.0,0.334,0.0,0.0,0.2424,13.7403,76.0905,239,Kalasa,Bee Fence + Community Watch
71,25.0,0.329,0.0,0.0,0.2424,13.7223,76.1091,240,Kalasa,Bee Fence + Community Watch
453,36.0,0.339,0.0,0.0,0.2423,13.4053,75.9104,241,Chikkamagaluru,Bee Fence + Community Watch
458,28.0,0.335,0.0024,0.0,0.242,13.399,75.8721,242,Chikkamagaluru,Bee Fence + Community Watch
102,37.0,0.342,0.0011,0.0,0.2418,13.6874,75.9447,243,Kalasa,Bee Fence + Community Watch
352,23.0,0.329,0.0,0.0,0.2416,13.5104,75.8772,244,Chikkamagaluru,Bee Fence + Community Watch
5,29.0,0.335,0.0,0.0,0.2415,13.8469,76.027,245,Kalasa,Bee Fence + Community Watch
323,7.0,0.342,0.0264,0.0,0.2415,13.5281,75.9395,246,Chikkamagaluru,Bee Fence + Community Watch
74,33.0,0.339,0.0,0.0,0.2413,13.7214,75.9399,247,Kalasa,Bee Fence + Community Watch
240,24.0,0.337,0.0049,0.0,0.2411,13.5791,75.8427,248,Koppa,Bee Fence + Community Watch
476,24.0,0.333,0.0,0.0,0.2407,13.3662,76.0301,249,Kadur,Bee Fence + Community Watch
72,19.0,0.331,0.0,0.0,0.2399,13.7226,76.0529,250,Kalasa,Bee Fence + Community Watch
365,5.0,0.345,0.0259,0.0,0.2398,13.5074,76.0753,251,Kadur,Bee Fence + Community Watch
32,32.0,0.343,0.0,0.0,0.2397,13.7738,76.0738,252,Kalasa,Bee Fence + Community Watch
312,21.0,0.334,0.0,0.0,0.2396,13.5291,75.9004,253,Chikkamagaluru,Bee Fence + Community Watch
135,5.0,0.347,0.0272,0.0,0.2394,13.6515,76.0306,254,Kalasa,Bee Fence + Community Watch
386,13.0,0.327,0.0,0.0,0.2394,13.4981,76.2122,255,Kadur,Bee Fence + Community Watch
371,24.0,0.337,0.0,0.0,0.2393,13.5021,76.2493,256,Kadur,Bee Fence + Community Watch
164,23.0,0.341,0.0051,0.0,0.2393,13.6299,75.9074,257,Koppa,Bee Fence + Community Watch
1,27.0,0.339,0.0,0.0,0.2393,13.8735,76.02,258,Kalasa,Bee Fence + Community Watch
77,21.0,0.335,0.0,0.0,0.2392,13.7187,75.9771,259,Kalasa,Bee Fence + Community Watch
131,16.0,0.34,0.0092,0.0,0.2389,13.6573,75.9826,260,Kalasa,Bee Fence + Community Watch
280,21.0,0.336,0.0,0.0,0.2388,13.5462,76.2136,261,Kadur,Bee Fence + Community Watch
