class,name,n_pixels,area_ha,mean,median,std,p10,p90,pct_high,pct_low
1,Dense Forest,511338,511338.0,0.7711319056942788,0.7741218507289886,0.13108375835776256,0.6058848440647125,0.9480971813201904,90.53189866585312,0.266751150902143
2,Shade Coffee,104435,104435.0,0.6468675988021951,0.6592463254928589,0.1368867524921982,0.4424288749694824,0.8179890155792237,68.05189830995356,1.8509120505577632
3,Open/Sun Coffee,5218,5218.0,0.6470006452569929,0.6552736163139343,0.14806280825600188,0.4168285757303238,0.8469427883625031,68.34036029129935,3.219624377155998
4,Settlement/Bare,567382,567382.0,0.5470421619340345,0.5618645548820496,0.1316548411985566,0.3534608095884323,0.7064375936985017,35.60405511630612,9.373226503484425
5,Water,16184,16184.0,0.6272335538122245,0.6460633873939514,0.07747743996260782,0.5257029891014099,0.7021818995475769,77.38507167572911,0.33984181908057337
